,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
151,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,0,false,NON_NULL,1,False,False,True,True,True,False
152,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,0,false,NULL,1,False,False,True,True,True,False
153,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,0,false,UNKNOWN,18,False,False,True,True,True,False
154,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,0,true,NON_NULL,2,False,False,True,True,True,False
155,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,0,true,UNKNOWN,33,False,False,True,True,True,False
156,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,1,false,NON_NULL,1,False,False,True,True,True,False
157,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,1,false,NULL,1,False,False,True,True,True,False
158,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,1,false,UNKNOWN,18,False,False,True,True,True,False
159,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,1,true,NON_NULL,4,False,False,True,True,True,False
160,com.google.common.base.Equivalence,method,public,equivalent(Ljava/lang/Object;Ljava/lang/Object;),false,1,true,UNKNOWN,31,False,False,True,True,True,False
161,com.google.common.base.Equivalence,method,public,hash(Ljava/lang/Object;),false,0,false,NON_NULL,1,False,False,True,True,True,False
162,com.google.common.base.Equivalence,method,public,hash(Ljava/lang/Object;),false,0,false,UNKNOWN,14,False,False,True,True,True,False
163,com.google.common.base.Equivalence,method,public,hash(Ljava/lang/Object;),false,0,true,UNKNOWN,5,False,False,True,True,True,False
164,com.google.common.base.Equivalence,method,public,pairwise(),false,-1,false,UNKNOWN,8,False,False,True,True,True,False
165,com.google.common.base.Equivalence,method,public,wrap(Ljava/lang/Object;),false,0,false,UNKNOWN,1,False,False,True,True,False,False
166,com.google.common.base.Equivalence$EquivalentToPredicate,method,private,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;),false,0,true,NON_NULL,1,,,False,,,
167,com.google.common.base.Equivalence$EquivalentToPredicate,method,private,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;),false,1,true,UNKNOWN,1,,,False,,,
168,com.google.common.base.Equivalence$Wrapper,method,private,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;),false,0,true,NON_NULL,1,True,,False,True,,
169,com.google.common.base.Equivalence$Wrapper,method,private,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;),false,1,true,UNKNOWN,1,True,,False,True,,
170,com.google.common.base.Equivalence$Wrapper,method,private,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;),false,2,true,NULL,1,True,,False,True,,
171,com.google.common.base.FinalizableReferenceQueue,method,private,access$000(),false,-1,true,UNKNOWN,2,False,,False,True,,
172,com.google.common.base.Function,method,public,apply(Ljava/lang/Object;),false,-1,false,UNKNOWN,1,False,False,True,True,False,False
173,com.google.common.base.Function,method,public,apply(Ljava/lang/Object;),false,0,false,NON_NULL,1,False,False,True,True,False,False
174,com.google.common.base.Function,method,public,apply(Ljava/lang/Object;),false,0,false,UNKNOWN,27,False,False,True,True,False,False
175,com.google.common.base.Function,method,public,apply(Ljava/lang/Object;),false,0,true,NON_NULL,2,False,False,True,True,False,False
176,com.google.common.base.Function,method,public,apply(Ljava/lang/Object;),false,0,true,UNKNOWN,40,False,False,True,True,False,False
177,com.google.common.base.Function,method,public,equals(Ljava/lang/Object;),false,0,true,UNKNOWN,8,False,False,True,True,False,False
178,com.google.common.base.FunctionalEquivalence,method,private,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Equivalence;),false,0,true,UNKNOWN,1,,,False,,,
179,com.google.common.base.FunctionalEquivalence,method,private,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Equivalence;),false,1,true,NON_NULL,1,,,False,,,
180,com.google.common.base.Functions,method,public,constant(Ljava/lang/Object;),false,0,true,UNKNOWN,1,False,False,True,True,False,False
181,com.google.common.base.Functions$ConstantFunction,method,public,<init>(Ljava/lang/Object;),false,0,true,UNKNOWN,1,,,False,,,
182,com.google.common.base.Functions$ForMapWithDefault,method,private,<init>(Ljava/util/Map;Ljava/lang/Object;),false,0,true,UNKNOWN,1,,,False,,,
183,com.google.common.base.Functions$ForMapWithDefault,method,private,<init>(Ljava/util/Map;Ljava/lang/Object;),false,1,true,UNKNOWN,1,,,False,,,
184,com.google.common.base.Functions$FunctionComposition,method,public,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;),false,0,true,UNKNOWN,1,,,False,,,
185,com.google.common.base.Functions$FunctionComposition,method,public,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;),false,1,true,UNKNOWN,1,,,False,,,
