"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"49","com.google.common.collect.ImmutableList","com.google.common.collect.ImmutableList","of(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"50","com.google.common.collect.ImmutableList","com.google.common.collect.ImmutableList","reverse()",FALSE,"return",-1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"51","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableBiMap","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"52","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableMap","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,295,295,0,0,"NonNull"
"53","com.google.common.collect.ImmutableMap$Builder","com.google.common.collect.ImmutableMap$Builder","put(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,690,690,0,0,"NonNull"
"54","com.google.common.collect.ImmutableMap$Builder","com.google.common.collect.ImmutableSortedMap$Builder","put(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,276,276,0,0,"NonNull"
"55","com.google.common.collect.ImmutableMap$Builder","com.google.common.collect.ImmutableSortedMap$Builder","putAll(Ljava/util/Map;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"56","com.google.common.collect.ImmutableMapEntry","com.google.common.collect.ImmutableMapEntry","createEntryArray(I)",FALSE,"return",-1,"Nullable","NonNull",0,0,5,5,0,0,"NonNull"
"57","com.google.common.collect.ImmutableMultimap","com.google.common.collect.ImmutableListMultimap","builder()",FALSE,"return",-1,"NonNull","NonNull",0,1,17,18,1,0.0555555555555556,"Nullable"
"58","com.google.common.collect.ImmutableMultimap","com.google.common.collect.ImmutableMultimap","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
